game_id,season,week,team,def_value_pre,def_value_post
2020_04_ARI_CAR,2020,4,ARI,-14.466,-15.922
2020_05_ARI_NYJ,2020,5,ARI,-15.922,-15.042
2020_06_ARI_DAL,2020,6,ARI,-15.042,-14.506
2020_07_SEA_ARI,2020,7,ARI,-14.506,-16.308
2020_09_MIA_ARI,2020,9,ARI,-16.308,-17.998
2020_10_BUF_ARI,2020,10,ARI,-17.998,-18.559
2020_11_ARI_SEA,2020,11,ARI,-18.559,-18.028
2020_12_ARI_NE,2020,12,ARI,-18.028,-14.371
2020_13_LAR_ARI,2020,13,ARI,-14.371,-16.84
2020_14_ARI_NYG,2020,14,ARI,-16.84,-13.665
2020_15_PHI_ARI,2020,15,ARI,-13.665,-16.107
2020_16_SF_ARI,2020,16,ARI,-16.107,-17.222
2020_17_ARI_LAR,2020,17,ARI,-17.222,-18.173
2021_01_ARI_TEN,2021,1,ARI,-11.649,-9.605
2021_02_MIN_ARI,2021,2,ARI,-9.605,-11.467
2021_03_ARI_JAX,2021,3,ARI,-11.467,-10.193
2021_04_ARI_LAR,2021,4,ARI,-10.193,-10.784
2021_05_SF_ARI,2021,5,ARI,-10.784,-10.94
2021_06_ARI_CLE,2021,6,ARI,-10.94,-9.68
2021_07_HOU_ARI,2021,7,ARI,-9.68,-9.782
2021_08_GB_ARI,2021,8,ARI,-9.782,-9.696
2021_09_ARI_SF,2021,9,ARI,-9.696,-9.517
2021_10_CAR_ARI,2021,10,ARI,-9.517,-10.833
2021_11_ARI_SEA,2021,11,ARI,-10.833,-8.396
2021_13_ARI_CHI,2021,13,ARI,-8.396,-6.205
2021_14_LAR_ARI,2021,14,ARI,-6.205,-7.311
2021_15_ARI_DET,2021,15,ARI,-7.311,-8.915
2021_16_IND_ARI,2021,16,ARI,-8.915,-9.529
2021_17_ARI_DAL,2021,17,ARI,-9.529,-10.27
2021_18_SEA_ARI,2021,18,ARI,-10.27,-11.45
2021_19_ARI_LAR,2021,19,ARI,-11.45,-12.706
2022_01_KC_ARI,2022,1,ARI,-8.145,-11.484
2022_02_ARI_OAK,2022,2,ARI,-11.484,-12.612
2022_03_LAR_ARI,2022,3,ARI,-12.612,-12.632
2022_04_ARI_CAR,2022,4,ARI,-12.632,-11.914
2022_05_PHI_ARI,2022,5,ARI,-11.914,-13.659
2022_06_ARI_SEA,2022,6,ARI,-13.659,-13.006
2022_07_NO_ARI,2022,7,ARI,-13.006,-15.114
2022_08_ARI_MIN,2022,8,ARI,-15.114,-15.797
2022_09_SEA_ARI,2022,9,ARI,-15.797,-17.142
2022_10_ARI_LAR,2022,10,ARI,-17.142,-17.515
2022_11_SF_ARI,2022,11,ARI,-17.515,-19.461
2022_12_LAC_ARI,2022,12,ARI,-19.461,-20.674
2022_14_NE_ARI,2022,14,ARI,-20.674,-20.209
2022_15_ARI_DEN,2022,15,ARI,-20.209,-18.631
2022_16_TB_ARI,2022,16,ARI,-18.631,-18.088
2022_17_ARI_ATL,2022,17,ARI,-18.088,-18.707
2022_18_ARI_SF,2022,18,ARI,-18.707,-18.392
2023_01_ARI_WAS,2023,1,ARI,-11.789,-11.727
2023_02_NYG_ARI,2023,2,ARI,-11.727,-14.266
2023_03_DAL_ARI,2023,3,ARI,-14.266,-13.724
2023_04_ARI_SF,2023,4,ARI,-13.724,-15.093
2023_05_CIN_ARI,2023,5,ARI,-15.093,-16.941
2023_06_ARI_LAR,2023,6,ARI,-16.941,-16.282
2023_07_ARI_SEA,2023,7,ARI,-16.282,-15.527
2023_08_BAL_ARI,2023,8,ARI,-15.527,-13.968
2023_09_ARI_CLE,2023,9,ARI,-13.968,-14.126
2023_10_ATL_ARI,2023,10,ARI,-14.126,-13.409
2023_11_ARI_HOU,2023,11,ARI,-13.409,-13.044
2023_12_LAR_ARI,2023,12,ARI,-13.044,-14.99
2023_13_ARI_PIT,2023,13,ARI,-14.99,-13.78
2023_15_SF_ARI,2023,15,ARI,-13.78,-15.473
2023_16_ARI_CHI,2023,16,ARI,-15.473,-16.118
2023_17_ARI_PHI,2023,17,ARI,-16.118,-15.539
2023_18_SEA_ARI,2023,18,ARI,-15.539,-16.485
2024_01_ARI_BUF,2024,1,ARI,-10.567,-11.803
2024_02_LAR_ARI,2024,2,ARI,-11.803,-10.355
2024_03_DET_ARI,2024,3,ARI,-10.355,-10.287
2024_04_WAS_ARI,2024,4,ARI,-10.287,-13.128
2024_05_ARI_SF,2024,5,ARI,-13.128,-11.219
2024_06_ARI_GB,2024,6,ARI,-11.219,-12.03
2024_07_LAC_ARI,2024,7,ARI,-12.03,-12.819
2024_08_ARI_MIA,2024,8,ARI,-12.819,-13.348
2024_09_CHI_ARI,2024,9,ARI,-13.348,-11.826
2024_10_NYJ_ARI,2024,10,ARI,-11.826,-10.666
2024_12_ARI_SEA,2024,12,ARI,-10.666,-8.956
2024_13_ARI_MIN,2024,13,ARI,-8.956,-9.498
2024_14_SEA_ARI,2024,14,ARI,-9.498,-11.203
2024_15_NE_ARI,2024,15,ARI,-11.203,-12.417
2024_16_ARI_CAR,2024,16,ARI,-12.417,-14.195
2024_17_ARI_LAR,2024,17,ARI,-14.195,-13.403
2024_18_SF_ARI,2024,18,ARI,-13.403,-14.989
2025_01_ARI_NO,2025,1,ARI,-9.608,-10.786
2025_02_CAR_ARI,2025,2,ARI,-10.786,-12.45
2025_03_ARI_SF,2025,3,ARI,-12.45,-12.204
2025_04_SEA_ARI,2025,4,ARI,-12.204,-12.954
2025_05_TEN_ARI,2025,5,ARI,-12.954,-12.643
2025_06_ARI_IND,2025,6,ARI,-12.643,-13.88
2025_07_GB_ARI,2025,7,ARI,-13.88,-14.156
